Categorie,Entiteit,Variabele,Device,Key,Eenheid,Leverancier,ETD  intern,ETD extern,Type variabele,Vereist,Frequentie,Wie vult?,Bron,Cumulatief,Diff,Momentaan,Definitie,AVG gevoelig,Test,KNMI,Min,Max,ThresholdToelichting,ThresholdType,AggregatieMethode,ResamplingMethode,AggregatieMeenemen,FysischModel,Volgorde,Resolutie
Temperatuur,Prestatiedata,TemperatuurWoonkamerSetpoint,"['L', 1, 44]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,graden C,ja,Controleer drempelwaarde,,0.0,40.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",15.0,5 minuten
Temperatuur,Prestatiedata,TemperatuurBinnenWTW,"['L', 6]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,graden C (zoals gerapporteerd door ventilatiesysteem),ja,,,-10.0,60.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",31.0,5 minuten
Temperatuur,Prestatiedata,TemperatuurBuitenWTW,"['L', 6]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,graden C (zoals gerapporteerd door ventilatiesysteem),nee,,,-50.0,60.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",32.0,5 minuten
Temperatuur,Prestatiedata,TemperatuurBuitenWarmtepomp,"['L', 1]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,graden C (zoals gerapporteerd door de warmtepomp),nee,,,-50.0,60.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",33.0,5 minuten
Temperatuur,Prestatiedata,TemperatuurAfgifteAanvoer,"['L', 1, 41]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,graden C,ja,,,1.0,100.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",34.0,5 minuten
Temperatuur,Prestatiedata,TemperatuurAfgifteRetour,"['L', 1, 41]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,graden C,ja,,,1.0,100.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",35.0,5 minuten
Temperatuur,Prestatiedata,TemperatuurTapwaterAanvoer,"['L', 1, 35]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,graden C,ja,,,1.0,100.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",35.0,5 minuten
Temperatuur,Prestatiedata,TemperatuurTapwaterRetour,"['L', 1, 35]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,graden C,ja,,,1.0,100.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",35.0,5 minuten
Energieproductie,Prestatiedata,WarmteproductieWarmtepomp,"['L', 1, 40, 42, 41, 35]",nee,GJ,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,GJ (=WarmteproductieRuimteverwarming + WarmteproductieTapwater),ja,"Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,200.0,,cumulatief,,max,False,"['L', 1, 2, 3]",16.0,5 minuten
Energieproductie,Prestatiedata,WarmteproductieRuimteverwarming,"['L', 1, 40, 41]",nee,GJ,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,GJ,ja,,,0.0,200.0,,cumulatief,,max,False,"['L', 1, 2, 3]",36.0,5 minuten
Energieproductie,Prestatiedata,WarmteproductieWarmTapwater,"['L', 1, 42, 35]",nee,GJ,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,GJ,ja,,,0.0,200.0,,cumulatief,,max,False,"['L', 1, 2, 3]",37.0,5 minuten
Water,Prestatiedata,WatergebruikWarmtepomp,"['L', 1, 40, 42]",nee,liter,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,"Debiet, in liter (=WatergebruikWarmTapwater + WatergebruikRuimteverwarming)",ja,,,0.0,,,cumulatief,,max,False,"['L', 1, 2, 3]",38.0,5 minuten
Water,Prestatiedata,WatergebruikWarmTapwater,"['L', 1, 42]",nee,liter,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,"Debiet, in liter",ja,"Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,999999.0,,cumulatief,,max,False,"['L', 1, 2, 3]",17.0,5 minuten
Water,Prestatiedata,WatergebruikRuimteverwarming,"['L', 1, 40]",nee,liter,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,"Debiet, in liter (water blijft in circuit, 'gebruik' is eigenlijk geen goede term)",ja,,,0.0,,,cumulatief,,max,False,"['L', 1, 2, 3]",39.0,5 minuten
Technisch,Prestatiedata,Mode,"['L', 1]",nee,factor,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,"0 = idle (stand-by)
1 = warm tapwater
2 = ruimteverwarming
3 = ruimtekoeling
4 = storing
5 = ontdooicyclus
6 = legionellacyclus",ja,Codes 3 en 4 zelf toegevoegd. Niet in data gezien. Niet bekend of dit compliant is met werkelijke warmtepompwaardes.,,,,,,,,False,"['L', 1, 2, 3]",40.0,5 minuten
Energievermogen,Prestatiedata,Zon-opwekMomentaan,"['L', 15, 43]",nee,kW,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,kW (momentaan),ja,Controleer drempelwaarde,,-2.0,11.5,"bij aansluiting op 3 fase, 16A zekering",momentaan,avg,avg,True,"['L', 1, 2, 3]",18.0,5 minuten
